month,carrier,airport,arr_flights,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled
11,9E,ABY,86.0,0.0,0.74,1.26,0.0,0.0,No
11,9E,AEX,59.0,1.77,0.0,1.94,0.0,1.29,No
11,9E,AGS,21.0,0.01,0.0,0.0,0.0,0.99,No
11,9E,ALB,98.0,5.11,0.0,2.69,0.0,7.2,Yes
11,9E,ATL,1143.0,28.67,2.26,37.27,0.0,45.8,Yes
11,9E,ATW,128.0,7.82,1.0,13.71,0.0,2.47,No
11,9E,AUS,39.0,3.79,0.09,2.65,0.0,1.46,No
11,9E,AVL,57.0,0.75,0.0,2.88,0.0,3.37,Yes
11,9E,AZO,60.0,2.23,0.89,3.88,0.0,0.0,Yes
11,9E,BDL,105.0,7.61,0.0,6.41,0.0,8.98,Yes
11,9E,BGM,30.0,1.58,0.0,2.42,0.0,0.0,No
11,9E,BGR,157.0,7.94,0.0,8.33,0.0,12.73,Yes
11,9E,BHM,30.0,2.21,0.0,5.92,0.0,6.86,No
11,9E,BNA,220.0,11.5,0.0,19.46,0.0,11.04,Yes
11,9E,BOS,19.0,1.0,0.0,1.0,0.0,0.0,No
11,9E,BQK,59.0,0.72,0.0,2.28,0.0,0.0,No
11,9E,BTV,171.0,7.32,0.0,8.41,0.0,11.27,Yes
11,9E,BUF,241.0,9.17,1.99,14.64,0.0,14.21,Yes
11,9E,BWI,88.0,1.96,0.0,14.1,0.0,6.95,No
11,9E,CAE,51.0,5.27,0.89,3.05,0.0,4.79,No
11,9E,CHA,53.0,5.03,0.0,2.97,0.0,0.0,No
11,9E,CHO,125.0,5.77,0.95,8.27,0.0,9.01,Yes
11,9E,CHS,153.0,5.44,0.0,19.53,0.0,12.03,Yes
11,9E,CID,46.0,1.0,0.0,3.0,0.0,0.0,No
11,9E,CLE,195.0,11.1,0.0,16.21,0.0,8.69,Yes
11,9E,CLT,274.0,7.38,1.0,16.38,0.0,16.24,Yes
11,9E,CMH,107.0,5.81,2.6,11.33,0.0,7.27,No
11,9E,CRW,24.0,0.0,0.0,0.17,0.0,0.83,No
11,9E,CSG,81.0,3.22,1.0,1.78,0.0,0.0,Yes
11,9E,CVG,539.0,21.07,1.46,46.6,0.0,36.86,Yes
11,9E,CWA,89.0,5.1,0.0,6.36,0.0,1.54,Yes
11,9E,DAY,24.0,0.17,0.0,0.0,0.0,1.83,No
11,9E,DCA,157.0,5.19,0.92,16.82,0.0,4.07,No
11,9E,DHN,59.0,0.72,2.51,3.18,0.0,0.59,No
11,9E,DLH,1.0,0.0,0.0,0.0,0.0,0.0,No
11,9E,DSM,179.0,8.85,1.58,13.38,0.0,6.19,No
11,9E,DTW,1276.0,36.77,3.0,48.21,0.0,40.02,Yes
11,9E,EWR,130.0,3.98,2.88,25.68,0.0,4.45,Yes
11,9E,EYW,25.0,3.0,0.9,0.1,0.0,0.0,No
11,9E,FSD,2.0,0.0,0.0,1.0,0.0,0.0,No
11,9E,GRB,158.0,6.46,0.0,14.02,0.0,1.52,Yes
11,9E,GRR,51.0,2.68,0.0,3.57,0.0,5.75,Yes
11,9E,GSO,88.0,5.0,0.0,7.41,0.0,12.59,Yes
11,9E,GSP,117.0,6.9,0.0,10.74,0.0,7.35,Yes
11,9E,GTR,81.0,2.0,0.0,0.0,0.0,2.0,No
11,9E,IAD,32.0,0.78,0.0,2.75,0.0,2.47,No
11,9E,ILM,113.0,3.05,0.0,3.25,0.0,7.7,Yes
11,9E,IND,197.0,8.84,0.78,19.02,0.0,8.36,Yes
11,9E,ITH,30.0,0.81,0.0,1.19,0.0,0.0,No
11,9E,JAX,90.0,1.51,0.0,8.95,0.0,8.54,Yes
11,9E,JFK,1986.0,62.4,7.26,170.59,0.0,89.75,Yes
11,9E,LAN,60.0,6.33,1.91,2.76,0.0,0.0,No
11,9E,LEX,31.0,1.0,0.0,3.0,0.0,0.0,No
11,9E,LGA,3204.0,85.7,31.02,460.62,1.0,128.66,Yes
11,9E,LSE,30.0,0.42,0.3,2.29,0.0,0.98,Yes
11,9E,MBS,60.0,1.0,0.0,2.0,0.0,0.0,No
11,9E,MCI,75.0,8.06,0.0,7.48,0.0,3.46,Yes
11,9E,MDT,25.0,0.0,0.0,3.0,0.0,0.0,No
11,9E,MEM,53.0,5.87,0.0,5.99,0.0,5.14,Yes
11,9E,MGM,114.0,6.33,0.0,2.81,0.0,1.87,No
11,9E,MKE,104.0,7.17,0.0,9.8,0.0,8.03,Yes
11,9E,MLU,79.0,1.99,0.0,0.01,0.0,1.0,No
11,9E,MQT,30.0,1.0,1.0,1.0,0.0,0.0,No
11,9E,MSN,63.0,0.0,0.0,0.0,0.0,2.0,Yes
11,9E,MSP,584.0,17.13,4.09,20.34,0.0,17.44,Yes
11,9E,MYR,73.0,1.78,0.0,3.83,0.0,4.38,Yes
11,9E,OKC,25.0,0.09,0.0,1.73,0.0,3.18,No
11,9E,OMA,36.0,2.17,0.0,1.89,0.0,4.95,Yes
11,9E,ORD,75.0,8.45,0.0,4.13,0.0,3.43,Yes
11,9E,ORF,156.0,2.71,0.0,10.61,0.0,9.68,Yes
11,9E,ORH,24.0,1.32,0.0,1.18,0.0,3.5,No
11,9E,PIT,162.0,5.5,1.45,9.09,0.0,7.96,Yes
11,9E,PVD,101.0,2.66,0.0,4.83,0.0,8.52,Yes
11,9E,PWM,191.0,8.31,0.9,25.94,0.0,14.86,Yes
11,9E,RDU,486.0,19.82,4.39,44.08,0.0,36.71,Yes
11,9E,RIC,274.0,12.77,1.84,19.59,0.0,14.8,Yes
11,9E,ROA,82.0,8.53,0.0,2.63,0.0,5.84,No
11,9E,ROC,276.0,10.65,1.98,21.4,0.0,16.97,Yes
11,9E,RST,20.0,0.0,0.0,4.0,0.0,0.0,Yes
11,9E,SAV,147.0,6.0,0.34,17.27,0.0,12.39,Yes
11,9E,SBN,3.0,1.0,0.0,0.0,0.0,0.0,No
11,9E,SDF,26.0,2.17,0.0,2.4,0.0,3.43,No
11,9E,STL,129.0,5.66,0.0,6.66,0.0,12.68,Yes
11,9E,SYR,288.0,11.06,1.0,17.72,0.0,13.21,Yes
11,9E,TRI,25.0,1.0,0.0,0.0,0.0,1.0,No
11,9E,TVC,16.0,1.0,0.0,0.0,0.0,0.0,No
11,9E,TYS,171.0,3.68,0.35,9.28,0.0,10.69,Yes
11,9E,VLD,88.0,5.61,1.0,1.39,0.0,0.0,No
11,9E,XNA,61.0,8.2,0.0,4.17,0.0,2.62,No
11,AA,ABQ,239.0,25.26,2.57,14.24,0.0,30.93,Yes
11,AA,ALB,82.0,4.82,0.0,2.68,0.0,10.5,No
11,AA,ANC,29.0,3.93,0.0,6.98,0.12,0.97,Yes
11,AA,ATL,534.0,49.54,0.13,31.55,0.89,49.88,Yes
11,AA,AUS,1278.0,95.85,2.9,147.81,2.32,124.11,Yes
11,AA,AVL,86.0,4.93,0.0,1.0,0.0,6.07,No
11,AA,AVP,82.0,10.11,0.0,1.66,0.0,5.23,No
11,AA,BDL,245.0,23.11,1.52,6.9,0.1,20.37,Yes
11,AA,BFL,60.0,7.46,0.72,2.54,0.0,9.28,No
11,AA,BHM,121.0,11.75,3.2,5.1,0.0,5.96,No
11,AA,BNA,711.0,55.0,2.47,30.5,0.06,59.97,Yes
11,AA,BOI,91.0,9.1,0.46,5.44,0.0,9.0,No
11,AA,BOS,1594.0,107.22,1.96,35.34,1.0,128.49,Yes
11,AA,BTV,2.0,0.0,0.0,0.0,0.0,0.0,No
11,AA,BUF,112.0,9.68,0.11,2.96,0.0,13.25,Yes
11,AA,BUR,91.0,7.19,0.83,4.94,0.0,10.03,No
11,AA,BWI,242.0,21.17,1.06,9.96,0.0,23.8,Yes
11,AA,BZN,30.0,3.35,0.32,0.88,0.0,2.44,No
11,AA,CAE,55.0,6.19,0.27,1.6,0.0,7.94,No
11,AA,CHS,379.0,26.12,0.34,15.27,0.0,42.27,No
11,AA,CID,86.0,11.01,0.95,5.16,0.0,11.89,No
11,AA,CLE,317.0,17.02,1.23,11.65,0.2,30.89,Yes
11,AA,CLT,9723.0,466.97,19.25,452.29,3.41,635.07,Yes
11,AA,CMH,278.0,20.17,0.42,10.16,0.0,32.25,Yes
11,AA,COS,89.0,8.15,0.17,2.88,0.0,8.8,No
11,AA,CVG,205.0,17.39,1.25,8.44,0.0,13.92,Yes
11,AA,DAB,59.0,6.56,0.0,0.74,0.0,4.7,Yes
11,AA,DCA,2642.0,153.77,11.51,182.28,0.41,282.03,Yes
11,AA,DEN,632.0,42.29,2.24,26.88,0.0,50.58,Yes
11,AA,DFW,11784.0,636.93,122.03,747.92,8.94,990.18,Yes
11,AA,DSM,89.0,5.2,0.94,2.08,0.0,7.78,No
11,AA,DTW,290.0,21.33,2.15,2.68,1.0,22.84,Yes
11,AA,ECP,29.0,4.32,0.0,1.0,0.0,0.68,No
11,AA,EGE,42.0,1.73,0.0,0.0,0.0,3.27,No
11,AA,ELP,152.0,14.52,0.11,9.44,0.0,26.94,Yes
11,AA,EUG,63.0,6.01,0.0,3.56,0.0,12.43,Yes
11,AA,EWR,713.0,50.45,5.79,80.37,1.2,70.2,Yes
11,AA,EYW,175.0,16.59,3.66,7.86,0.0,9.89,Yes
11,AA,FAT,145.0,15.09,0.2,7.67,0.78,6.26,Yes
11,AA,FLL,469.0,43.13,1.76,25.5,0.0,32.61,Yes
11,AA,GEG,66.0,15.11,1.14,5.0,0.5,10.24,Yes
11,AA,GRB,6.0,1.0,0.0,0.0,0.0,1.0,No
11,AA,GRR,143.0,12.53,0.75,4.75,0.0,19.97,Yes
11,AA,GSO,137.0,10.07,0.0,1.99,0.27,8.67,Yes
11,AA,GSP,118.0,7.53,0.0,3.97,0.73,13.77,Yes
11,AA,HNL,192.0,13.61,0.0,31.82,0.0,6.56,No
11,AA,IAD,122.0,5.72,0.0,4.56,0.0,16.72,Yes
11,AA,IAH,453.0,34.47,2.75,31.47,1.0,38.31,Yes
11,AA,ICT,88.0,12.37,1.42,2.87,0.0,13.34,Yes
11,AA,ILM,170.0,14.46,0.0,2.39,0.19,17.95,Yes
11,AA,IND,385.0,23.57,1.55,12.75,0.2,28.93,Yes
11,AA,JAC,29.0,3.46,0.0,0.68,0.0,1.86,No
11,AA,JAX,462.0,33.12,1.07,17.06,0.0,39.75,Yes
11,AA,JFK,1164.0,83.08,5.86,77.92,0.06,79.08,Yes
11,AA,KOA,60.0,3.92,0.0,6.49,0.0,0.59,No
11,AA,LAS,1041.0,75.4,7.01,80.05,0.64,91.9,Yes
11,AA,LAX,2525.0,177.71,6.37,184.08,3.77,167.07,Yes
11,AA,LBB,3.0,0.0,0.0,0.0,0.0,0.0,No
11,AA,LGA,1733.0,110.35,9.78,196.88,1.75,142.24,Yes
11,AA,LIH,60.0,4.32,0.0,6.09,0.0,2.6,No
11,AA,LIT,106.0,5.31,0.27,3.71,0.0,10.72,Yes
11,AA,MAF,49.0,4.26,0.55,5.15,0.0,6.03,No
11,AA,MCI,499.0,39.27,2.25,16.34,0.83,58.3,Yes
11,AA,MCO,1526.0,108.81,6.58,84.5,0.0,104.11,Yes
11,AA,MDT,89.0,9.46,0.0,3.38,0.0,8.16,Yes
11,AA,MEM,300.0,18.38,1.03,13.02,0.0,39.58,Yes
11,AA,MFE,120.0,12.43,2.26,9.61,0.0,8.69,No
11,AA,MHT,4.0,0.0,0.0,0.0,0.0,0.0,No
11,AA,MIA,3995.0,266.59,11.65,288.25,4.11,249.41,Yes
11,AA,MKE,177.0,13.41,1.16,4.07,0.0,16.35,Yes
11,AA,MSN,148.0,11.02,0.82,4.78,0.0,17.38,Yes
11,AA,MSO,32.0,3.39,0.0,2.69,0.0,0.92,No
11,AA,MSP,286.0,25.84,1.39,5.6,0.0,22.17,Yes
11,AA,MSY,521.0,36.08,3.76,28.54,0.0,36.62,No
11,AA,MTJ,29.0,3.64,0.0,0.0,0.0,0.36,No
11,AA,MYR,88.0,7.14,0.0,3.1,0.0,10.76,No
11,AA,OGG,162.0,9.04,0.0,25.12,0.0,1.85,No
11,AA,OKC,236.0,19.89,1.61,11.99,0.69,27.82,Yes
11,AA,OMA,232.0,17.51,1.66,7.58,0.0,22.24,Yes
11,AA,ONT,234.0,26.41,1.68,21.89,0.0,21.02,No
11,AA,ORD,4175.0,191.39,16.43,165.05,3.44,305.69,Yes
11,AA,ORF,201.0,17.41,0.0,5.19,0.94,17.45,Yes
11,AA,PBI,375.0,29.4,1.21,27.57,0.0,27.82,Yes
11,AA,PDX,265.0,21.32,0.8,16.93,0.75,28.2,Yes
11,AA,PHL,2977.0,151.95,9.38,107.4,0.13,208.14,Yes
11,AA,PHX,4104.0,246.36,8.64,204.33,0.05,256.62,Yes
11,AA,PIT,409.0,32.38,2.41,9.62,0.0,35.59,Yes
11,AA,PNS,152.0,12.36,1.87,4.98,0.0,19.79,Yes
11,AA,PSP,162.0,8.97,1.03,7.47,0.0,12.53,Yes
11,AA,PVD,163.0,12.89,1.0,2.5,0.0,8.61,No
11,AA,PWM,97.0,7.73,0.0,2.75,0.0,12.51,No
11,AA,RAP,2.0,0.0,0.0,0.0,0.0,0.0,No
11,AA,RDU,821.0,61.14,1.75,49.62,2.18,94.31,Yes
11,AA,RIC,292.0,24.18,0.0,4.97,0.0,21.85,Yes
11,AA,RNO,153.0,14.08,0.0,5.46,0.27,15.2,Yes
11,AA,ROC,82.0,7.45,0.0,1.87,0.0,6.67,No
11,AA,RSW,455.0,31.35,2.53,28.06,1.2,31.85,Yes
11,AA,SAN,649.0,47.7,2.93,62.06,1.05,59.25,Yes
11,AA,SAT,588.0,60.73,2.16,42.26,0.0,75.85,Yes
11,AA,SAV,172.0,16.89,0.14,5.74,0.0,20.23,Yes
11,AA,SBA,93.0,11.1,0.05,1.96,0.0,11.89,Yes
11,AA,SBP,57.0,11.52,1.17,1.68,0.0,5.63,Yes
11,AA,SDF,123.0,9.78,0.0,1.01,0.0,11.2,No
11,AA,SEA,452.0,33.06,2.81,38.24,0.91,24.98,Yes
11,AA,SFO,753.0,81.99,1.82,68.61,0.65,75.93,Yes
11,AA,SJC,176.0,12.32,1.15,9.65,0.91,12.98,No
11,AA,SJU,324.0,27.35,3.62,16.85,0.0,16.17,No
11,AA,SLC,268.0,28.34,2.59,16.36,0.3,28.42,Yes
11,AA,SMF,184.0,22.56,1.7,11.38,0.0,19.36,Yes
11,AA,SNA,531.0,43.21,4.38,41.18,0.0,27.23,Yes
11,AA,SRQ,230.0,15.75,0.56,22.18,0.04,28.47,Yes
11,AA,STL,502.0,48.1,2.06,19.06,1.02,47.76,Yes
11,AA,STT,129.0,11.31,2.19,5.0,0.0,6.49,No
11,AA,STX,35.0,1.64,0.89,1.46,0.0,1.01,No
11,AA,SYR,112.0,13.75,0.0,0.88,0.0,11.36,Yes
11,AA,TPA,974.0,79.61,4.15,41.31,0.17,81.77,Yes
11,AA,TUL,157.0,13.81,0.4,4.47,0.59,10.73,Yes
11,AA,TUS,348.0,27.55,1.65,15.08,0.0,20.72,Yes
11,AA,TYS,110.0,12.57,1.36,3.73,0.03,12.31,No
11,AA,VPS,154.0,20.73,0.34,8.88,0.0,15.06,No
11,AA,XNA,63.0,8.63,0.0,2.08,0.0,11.29,Yes
11,AS,ABQ,62.0,4.96,0.0,4.99,0.0,3.05,Yes
11,AS,ADK,9.0,0.94,0.0,0.06,0.0,0.0,No
11,AS,ADQ,57.0,1.42,0.0,4.0,0.0,8.59,No
11,AS,ANC,984.0,60.11,10.3,108.4,11.19,77.0,Yes
11,AS,ATL,62.0,8.84,0.56,5.16,0.0,1.44,No
11,AS,AUS,281.0,14.77,0.0,15.86,0.0,11.37,Yes
11,AS,BET,58.0,3.0,1.75,1.99,0.0,4.27,Yes
11,AS,BNA,59.0,3.39,1.0,5.04,0.0,8.57,No
11,AS,BOI,182.0,8.74,1.14,7.1,0.0,11.03,Yes
11,AS,BOS,199.0,16.28,0.19,16.91,0.0,8.62,Yes
11,AS,BRW,29.0,4.85,1.8,2.73,0.0,2.62,Yes
11,AS,BUR,141.0,3.34,1.18,6.76,0.0,11.72,Yes
11,AS,BWI,29.0,0.0,0.0,4.0,0.0,1.0,Yes
11,AS,BZN,41.0,0.0,0.0,4.0,0.0,1.0,Yes
11,AS,CDV,58.0,0.0,0.0,1.32,0.0,3.68,Yes
11,AS,CHS,29.0,0.86,0.0,0.14,0.0,0.0,No
11,AS,CLE,30.0,2.31,1.0,2.06,0.0,1.63,No
11,AS,CMH,29.0,0.0,1.0,3.03,0.0,1.97,No
11,AS,CVG,29.0,0.92,0.18,4.72,0.49,1.7,No
11,AS,DAL,58.0,2.11,0.0,4.51,0.0,1.38,Yes
11,AS,DCA,150.0,6.08,1.44,19.81,0.0,7.67,No
11,AS,DEN,147.0,6.77,1.06,9.48,0.0,10.69,Yes
11,AS,DFW,156.0,10.44,3.39,18.89,0.0,6.27,Yes
11,AS,DTW,29.0,1.0,0.88,5.59,0.0,1.53,No
11,AS,ELP,29.0,2.42,0.0,1.24,0.0,2.34,Yes
11,AS,EWR,298.0,16.32,5.4,70.9,0.0,4.38,Yes
11,AS,FAI,210.0,13.23,0.39,29.42,0.0,3.95,Yes
11,AS,FAT,38.0,2.04,0.33,3.55,0.0,2.08,Yes
11,AS,FLL,82.0,3.77,1.11,18.43,0.0,3.69,Yes
11,AS,GEG,193.0,10.24,2.82,16.68,2.77,14.49,Yes
11,AS,HNL,260.0,18.05,2.2,40.85,0.0,7.9,No
11,AS,IAD,101.0,10.59,0.69,11.72,0.0,1.0,No
11,AS,IAH,58.0,3.12,1.02,7.91,0.0,3.95,No
11,AS,IND,29.0,0.99,0.94,2.07,0.0,2.0,No
11,AS,JFK,352.0,12.98,3.49,32.41,0.0,6.11,Yes
11,AS,JNU,328.0,17.01,3.66,18.89,0.0,20.45,Yes
11,AS,KOA,126.0,9.46,1.59,18.98,0.0,4.97,No
11,AS,KTN,174.0,16.91,1.46,11.13,0.0,9.49,Yes
11,AS,LAS,474.0,25.5,7.09,35.15,0.0,27.26,Yes
11,AS,LAX,776.0,45.91,2.3,94.74,1.62,35.43,Yes
11,AS,LIH,114.0,8.74,0.25,7.89,0.0,4.11,Yes
11,AS,MCI,48.0,1.0,3.0,2.5,0.0,2.5,No
11,AS,MCO,198.0,11.87,1.74,28.27,0.0,3.12,Yes
11,AS,MIA,30.0,0.26,0.0,2.86,0.88,0.0,No
11,AS,MKE,29.0,1.98,1.0,0.02,0.0,1.0,No
11,AS,MSP,56.0,6.3,1.65,4.08,0.0,2.96,No
11,AS,MSY,29.0,4.83,0.0,3.31,0.0,1.86,No
11,AS,OAK,77.0,4.39,0.0,4.36,0.0,7.24,Yes
11,AS,OGG,240.0,14.27,2.78,54.11,0.0,6.84,Yes
11,AS,OKC,29.0,0.84,0.94,6.92,0.0,2.3,No
11,AS,OMA,29.0,1.8,0.16,4.05,0.0,0.0,No
11,AS,OME,58.0,2.0,0.0,5.0,0.0,1.0,Yes
11,AS,ONT,130.0,10.74,0.0,11.75,0.0,2.51,Yes
11,AS,ORD,210.0,9.45,4.96,22.25,0.0,6.34,Yes
11,AS,OTZ,58.0,1.0,0.0,6.77,0.0,2.23,Yes
11,AS,PAE,42.0,1.48,0.0,5.04,0.0,1.48,No
11,AS,PDX,1348.0,52.5,5.82,88.94,0.59,99.16,Yes
11,AS,PHL,29.0,2.04,0.0,4.07,0.0,1.9,No
11,AS,PHX,362.0,20.06,2.83,23.97,0.0,15.13,Yes
11,AS,PIT,29.0,0.81,1.65,1.83,0.0,0.71,Yes
11,AS,PSG,58.0,2.58,3.0,0.85,0.0,3.57,No
11,AS,PSP,139.0,8.36,0.67,7.2,0.0,8.77,Yes
11,AS,RDM,30.0,4.1,0.0,2.57,0.0,1.33,Yes
11,AS,RDU,29.0,2.95,0.38,3.29,0.0,0.38,No
11,AS,RNO,48.0,3.78,0.79,5.87,0.0,4.57,Yes
11,AS,RSW,17.0,1.01,0.0,3.23,0.0,0.75,No
11,AS,SAN,725.0,39.54,5.52,55.7,0.0,53.24,Yes
11,AS,SAT,30.0,1.53,0.48,6.75,0.0,3.25,No
11,AS,SBA,30.0,3.94,1.0,0.06,0.0,2.0,No
11,AS,SCC,35.0,0.63,0.0,3.37,0.0,0.0,No
11,AS,SEA,5816.0,234.86,24.55,463.11,2.9,336.58,Yes
11,AS,SFO,1068.0,39.87,5.52,85.7,0.44,71.48,Yes
11,AS,SIT,87.0,6.0,0.3,5.99,0.0,13.71,Yes
11,AS,SJC,352.0,13.86,0.92,19.48,1.0,30.74,Yes
11,AS,SLC,106.0,6.13,1.22,8.83,0.0,8.83,Yes
11,AS,SMF,149.0,9.81,0.92,10.38,0.0,5.89,Yes
11,AS,SNA,282.0,12.25,1.79,18.04,0.0,5.92,Yes
11,AS,STL,28.0,2.27,0.0,1.83,0.0,3.9,Yes
11,AS,STS,30.0,3.96,0.34,1.04,0.0,1.66,No
11,AS,TPA,75.0,1.16,1.0,7.14,0.0,4.7,Yes
11,AS,TUS,30.0,0.09,0.0,2.15,0.0,2.76,Yes
11,AS,WRG,58.0,1.0,1.2,1.52,0.0,9.28,Yes
11,AS,YAK,58.0,0.0,0.0,1.68,0.0,6.32,Yes
11,B6,ALB,58.0,13.64,0.0,1.93,0.0,4.43,Yes
11,B6,ATL,208.0,41.04,0.0,18.46,0.0,8.51,No
11,B6,AUS,107.0,13.92,0.0,14.78,0.0,8.3,No
11,B6,BDL,263.0,33.8,0.0,9.39,0.0,35.81,Yes
11,B6,BNA,213.0,27.45,0.12,27.47,0.0,22.97,Yes
11,B6,BOS,3798.0,305.4,5.01,184.18,1.27,402.14,Yes
11,B6,BQN,93.0,19.13,0.0,9.63,0.0,9.25,Yes
11,B6,BTV,88.0,12.9,0.44,1.85,0.0,10.81,No
11,B6,BUF,268.0,40.97,4.21,10.15,0.0,23.67,Yes
11,B6,BUR,59.0,7.03,0.0,7.88,0.0,3.09,No
11,B6,BWI,78.0,11.9,1.0,0.26,0.0,4.84,No
11,B6,CHS,217.0,26.89,0.0,15.68,0.0,21.43,Yes
11,B6,CLE,84.0,20.02,0.0,2.49,0.0,5.48,No
11,B6,CLT,55.0,5.66,0.0,0.33,0.0,3.0,No
11,B6,DCA,826.0,91.3,0.81,91.56,0.0,68.33,Yes
11,B6,DEN,146.0,16.19,0.0,14.56,0.0,5.24,No
11,B6,DFW,59.0,9.24,0.0,9.5,0.0,2.25,No
11,B6,DTW,175.0,29.48,0.0,11.83,0.0,10.68,No
11,B6,EWR,736.0,70.07,0.67,58.99,0.19,73.08,Yes
11,B6,EYW,20.0,0.0,0.0,1.0,0.0,0.0,Yes
11,B6,FLL,1508.0,187.79,6.71,133.83,0.64,156.03,Yes
11,B6,HPN,410.0,36.89,0.51,27.23,1.35,28.03,Yes
11,B6,IAH,89.0,10.8,0.8,21.69,0.0,2.72,No
11,B6,JAX,247.0,32.57,0.17,11.78,0.0,23.48,Yes
11,B6,JFK,4065.0,459.67,13.61,262.81,3.16,413.74,Yes
11,B6,LAS,266.0,40.37,0.0,27.9,0.0,14.73,No
11,B6,LAX,970.0,86.32,0.01,59.08,0.98,66.61,Yes
11,B6,LGA,1412.0,106.34,5.91,199.34,0.35,127.06,Yes
11,B6,MCI,59.0,5.14,0.0,1.18,0.0,0.68,No
11,B6,MCO,1482.0,204.56,1.6,167.87,1.89,190.07,Yes
11,B6,MIA,262.0,40.25,0.0,31.39,0.26,13.1,Yes
11,B6,MKE,59.0,6.76,0.0,0.28,0.0,1.96,No
11,B6,MSP,88.0,15.66,0.0,6.84,0.0,4.5,No
11,B6,MSY,139.0,14.77,1.56,24.08,0.0,2.59,No
11,B6,ONT,30.0,3.64,0.0,0.77,0.0,1.59,No
11,B6,ORD,117.0,18.94,0.0,5.25,0.0,4.81,Yes
11,B6,ORH,88.0,23.13,0.0,6.38,0.0,11.49,No
11,B6,PBI,770.0,105.19,3.26,113.37,0.7,61.48,Yes
11,B6,PHL,90.0,6.76,0.0,2.94,0.0,1.29,No
11,B6,PHX,98.0,21.01,0.0,9.99,0.0,11.0,No
11,B6,PIT,116.0,17.57,0.0,2.85,0.0,7.58,No
11,B6,PSE,30.0,4.88,0.0,3.3,0.0,3.82,Yes
11,B6,PSP,30.0,6.17,0.0,5.26,0.0,3.56,No
11,B6,PVD,109.0,12.25,0.93,5.12,0.0,7.7,Yes
11,B6,RDU,269.0,51.58,1.0,17.86,0.33,24.23,No
11,B6,RIC,141.0,26.68,0.0,4.08,0.35,19.88,Yes
11,B6,RNO,31.0,4.53,0.0,0.86,0.0,6.61,No
11,B6,ROC,88.0,16.36,0.0,6.38,0.0,11.26,Yes
11,B6,RSW,314.0,45.31,1.0,31.45,0.0,21.24,Yes
11,B6,SAN,156.0,16.61,0.0,6.54,0.0,6.85,No
11,B6,SAT,59.0,3.71,0.0,5.79,0.0,0.5,No
11,B6,SAV,147.0,19.31,0.0,10.85,0.0,11.84,No
11,B6,SEA,64.0,11.66,0.0,4.52,0.0,4.81,No
11,B6,SFO,426.0,38.76,0.13,16.29,0.12,17.7,No
11,B6,SJU,757.0,123.39,1.92,43.65,1.76,56.28,Yes
11,B6,SLC,141.0,15.39,0.0,7.93,0.0,12.68,No
11,B6,SMF,30.0,4.76,0.0,2.44,0.0,1.8,No
11,B6,SRQ,99.0,10.24,0.0,12.81,0.0,1.95,Yes
11,B6,STT,64.0,6.64,0.0,2.14,0.0,4.22,No
11,B6,SYR,119.0,18.76,0.0,8.54,0.0,11.7,Yes
11,B6,TPA,472.0,74.04,0.0,48.37,1.06,33.52,Yes
11,DL,ABQ,88.0,7.71,0.0,7.54,0.0,1.76,No
11,DL,ALB,81.0,7.72,0.0,2.14,0.0,4.13,No
11,DL,ANC,145.0,9.67,1.38,27.55,0.0,4.4,No
11,DL,ATL,17779.0,701.27,48.47,639.56,3.39,597.31,Yes
11,DL,ATW,29.0,0.0,0.0,0.0,0.0,0.0,Yes
11,DL,AUS,779.0,69.15,2.25,86.51,0.0,28.09,Yes
11,DL,AVL,161.0,2.91,0.95,3.09,0.0,2.05,No
11,DL,BDL,328.0,15.9,1.0,15.78,0.0,4.31,Yes
11,DL,BHM,217.0,14.9,0.0,1.19,0.0,2.91,No
11,DL,BIL,60.0,1.73,0.0,1.32,0.0,1.95,No
11,DL,BNA,748.0,49.59,2.3,41.64,0.0,12.46,Yes
11,DL,BOI,182.0,10.42,0.0,23.31,0.0,5.28,No
11,DL,BOS,1996.0,93.07,5.71,81.25,0.0,69.97,Yes
11,DL,BTR,105.0,3.31,0.0,3.78,0.0,0.91,No
11,DL,BTV,29.0,1.06,0.0,0.0,0.0,0.94,No
11,DL,BUF,213.0,13.97,1.8,14.81,0.0,3.42,Yes
11,DL,BUR,20.0,1.84,0.0,2.16,0.0,0.0,No
11,DL,BWI,426.0,30.65,0.53,20.77,0.0,5.05,No
11,DL,BZN,111.0,5.77,0.31,7.4,0.0,0.52,Yes
11,DL,CAE,146.0,7.37,0.0,0.74,0.0,2.89,No
11,DL,CHA,148.0,7.27,0.0,0.14,0.0,0.59,No
11,DL,CHO,30.0,0.55,0.0,0.01,0.0,0.43,No
11,DL,CHS,232.0,21.04,1.0,4.37,0.0,2.59,No
11,DL,CID,30.0,2.0,0.0,0.0,0.0,0.0,No
11,DL,CLE,241.0,17.49,0.09,2.74,0.0,10.67,No
11,DL,CLT,449.0,32.25,0.0,11.26,0.0,8.5,Yes
11,DL,CMH,207.0,9.8,0.83,4.51,0.0,2.86,No
11,DL,CVG,557.0,32.14,0.0,8.37,0.0,17.49,Yes
11,DL,DAB,107.0,9.65,0.0,4.04,0.0,1.32,Yes
11,DL,DAL,134.0,5.75,0.0,7.18,0.0,0.07,No
11,DL,DAY,111.0,3.9,0.0,1.16,0.0,2.94,No
